date,season,competition,country,home_team,away_team,home_goals,away_goals,neutral,stage,round,source,source_file,notes
2021-08-13,2021-22,Premier League,England,Brentford,Arsenal,2,0,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Man United,Leeds,5,1,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Burnley,Brighton,1,2,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Chelsea,Crystal Palace,3,0,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Everton,Southampton,3,1,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Leicester,Wolves,1,0,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Watford,Aston Villa,3,2,,,,footballcsv,eng.1.csv,
2021-08-14,2021-22,Premier League,England,Norwich,Liverpool,0,3,,,,footballcsv,eng.1.csv,
2021-08-15,2021-22,Premier League,England,Newcastle,West Ham,2,4,,,,footballcsv,eng.1.csv,
2021-08-15,2021-22,Premier League,England,Tottenham,Man City,1,0,,,,footballcsv,eng.1.csv,
2021-08-21,2021-22,Premier League,England,Liverpool,Burnley,2,0,,,,footballcsv,eng.1.csv,
2021-08-21,2021-22,Premier League,England,Aston Villa,Newcastle,2,0,,,,footballcsv,eng.1.csv,
2021-08-21,2021-22,Premier League,England,Crystal Palace,Brentford,0,0,,,,footballcsv,eng.1.csv,
2021-08-21,2021-22,Premier League,England,Leeds,Everton,2,2,,,,footballcsv,eng.1.csv,
2021-08-21,2021-22,Premier League,England,Man City,Norwich,5,0,,,,footballcsv,eng.1.csv,
2021-08-21,2021-22,Premier League,England,Brighton,Watford,2,0,,,,footballcsv,eng.1.csv,
2021-08-22,2021-22,Premier League,England,Southampton,Man United,1,1,,,,footballcsv,eng.1.csv,
2021-08-22,2021-22,Premier League,England,Wolves,Tottenham,0,1,,,,footballcsv,eng.1.csv,
2021-08-22,2021-22,Premier League,England,Arsenal,Chelsea,0,2,,,,footballcsv,eng.1.csv,
2021-08-23,2021-22,Premier League,England,West Ham,Leicester,4,1,,,,footballcsv,eng.1.csv,
