date,season,competition,country,home_team,away_team,home_goals,away_goals,neutral,stage,round,source,source_file,notes
2025-01-23,2025,Primera Division,Argentina,Tigre,Vélez Sarsfield,3.0,0.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-23,2025,Primera Division,Argentina,Godoy Cruz,Rosario Central,0.0,3.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-23,2025,Primera Division,Argentina,Newell's Old Boys,Independiente Rivadavia,0.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-23,2025,Primera Division,Argentina,Defensa y Justicia,Banfield,0.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-23,2025,Primera Division,Argentina,Lanús,Deportivo Riestra,0.0,2.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-24,2025,Primera Division,Argentina,Barracas Central,Racing Club,1.0,3.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-24,2025,Primera Division,Argentina,Independiente,Sarmiento de Junín,2.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-24,2025,Primera Division,Argentina,Belgrano de Córdoba,Huracán,1.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-24,2025,Primera Division,Argentina,San Martín de San Juan,Atlético Tucumán,0.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-25,2025,Primera Division,Argentina,San Lorenzo,Talleres de Córdoba,1.0,0.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-25,2025,Primera Division,Argentina,Estudiantes,Unión de Santa Fe,3.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-25,2025,Primera Division,Argentina,Instituto de Córdoba,Gimnasia de La Plata,3.0,0.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-25,2025,Primera Division,Argentina,Platense,River Plate,1.0,1.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-26,2025,Primera Division,Argentina,Boca Juniors,Argentinos Juniors,,,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-26,2025,Primera Division,Argentina,Central Córdoba SdE,Aldosivi,1.0,0.0,,regular,"1° Semestre, Matchday 1",openfootball,ar.1.json,
2025-01-27,2025,Primera Division,Argentina,Banfield,Newell's Old Boys,3.0,0.0,,regular,"1° Semestre, Matchday 2",openfootball,ar.1.json,
2025-01-28,2025,Primera Division,Argentina,Deportivo Riestra,San Martín de San Juan,,,,regular,"1° Semestre, Matchday 2",openfootball,ar.1.json,
2025-01-28,2025,Primera Division,Argentina,Rosario Central,Lanús,2.0,1.0,,regular,"1° Semestre, Matchday 2",openfootball,ar.1.json,
2025-01-28,2025,Primera Division,Argentina,Sarmiento de Junín,Godoy Cruz,,,,regular,"1° Semestre, Matchday 2",openfootball,ar.1.json,
2025-01-28,2025,Primera Division,Argentina,Independiente Rivadavia,Barracas Central,,,,regular,"1° Semestre, Matchday 2",openfootball,ar.1.json,
