date,season,competition,country,home_team,away_team,home_goals,away_goals,neutral,stage,round,source,source_file,notes
2025-01-23,2025,Argentina Primera Division 2025,Argentina,Tigre,Vélez Sarsfield,3,0,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-23,2025,Argentina Primera Division 2025,Argentina,Godoy Cruz,Rosario Central,0,3,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-23,2025,Argentina Primera Division 2025,Argentina,Newell's Old Boys,Independiente Rivadavia,0,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-23,2025,Argentina Primera Division 2025,Argentina,Defensa y Justicia,Banfield,0,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-23,2025,Argentina Primera Division 2025,Argentina,Lanús,Deportivo Riestra,0,2,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-24,2025,Argentina Primera Division 2025,Argentina,Barracas Central,Racing Club,1,3,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-24,2025,Argentina Primera Division 2025,Argentina,Independiente,Sarmiento de Junín,2,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-24,2025,Argentina Primera Division 2025,Argentina,Belgrano de Córdoba,Huracán,1,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-24,2025,Argentina Primera Division 2025,Argentina,San Martín de San Juan,Atlético Tucumán,0,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-25,2025,Argentina Primera Division 2025,Argentina,San Lorenzo,Talleres de Córdoba,1,0,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-25,2025,Argentina Primera Division 2025,Argentina,Estudiantes,Unión de Santa Fe,3,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-25,2025,Argentina Primera Division 2025,Argentina,Instituto de Córdoba,Gimnasia de La Plata,3,0,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-25,2025,Argentina Primera Division 2025,Argentina,Platense,River Plate,1,1,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-26,2025,Argentina Primera Division 2025,Argentina,Boca Juniors,Argentinos Juniors,0,0,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-26,2025,Argentina Primera Division 2025,Argentina,Central Córdoba SdE,Aldosivi,1,0,,regular,"1° Semestre, Matchday 1",openfootball_sa,2025_ar1.txt,
2025-01-27,2025,Argentina Primera Division 2025,Argentina,Banfield,Newell's Old Boys,3,0,,regular,"1° Semestre, Matchday 2",openfootball_sa,2025_ar1.txt,
2025-01-28,2025,Argentina Primera Division 2025,Argentina,Deportivo Riestra,San Martín de San Juan,0,0,,regular,"1° Semestre, Matchday 2",openfootball_sa,2025_ar1.txt,
2025-01-28,2025,Argentina Primera Division 2025,Argentina,Rosario Central,Lanús,2,1,,regular,"1° Semestre, Matchday 2",openfootball_sa,2025_ar1.txt,
2025-01-28,2025,Argentina Primera Division 2025,Argentina,Sarmiento de Junín,Godoy Cruz,0,0,,regular,"1° Semestre, Matchday 2",openfootball_sa,2025_ar1.txt,
2025-01-28,2025,Argentina Primera Division 2025,Argentina,Independiente Rivadavia,Barracas Central,0,0,,regular,"1° Semestre, Matchday 2",openfootball_sa,2025_ar1.txt,
