Date,Team 1,FT,HT,Team 2
Fri Aug 13 2021,Brentford,2-0,1-0,Arsenal
Sat Aug 14 2021,Man United,5-1,1-0,Leeds
Sat Aug 14 2021,Burnley,1-2,1-0,Brighton
Sat Aug 14 2021,Chelsea,3-0,2-0,Crystal Palace
Sat Aug 14 2021,Everton,3-1,0-1,Southampton
Sat Aug 14 2021,Leicester,1-0,1-0,Wolves
Sat Aug 14 2021,Watford,3-2,2-0,Aston Villa
Sat Aug 14 2021,Norwich,0-3,0-1,Liverpool
Sun Aug 15 2021,Newcastle,2-4,2-1,West Ham
Sun Aug 15 2021,Tottenham,1-0,0-0,Man City
Sat Aug 21 2021,Liverpool,2-0,1-0,Burnley
Sat Aug 21 2021,Aston Villa,2-0,1-0,Newcastle
Sat Aug 21 2021,Crystal Palace,0-0,0-0,Brentford
Sat Aug 21 2021,Leeds,2-2,1-1,Everton
Sat Aug 21 2021,Man City,5-0,2-0,Norwich
Sat Aug 21 2021,Brighton,2-0,2-0,Watford
Sun Aug 22 2021,Southampton,1-1,1-0,Man United
Sun Aug 22 2021,Wolves,0-1,0-1,Tottenham
Sun Aug 22 2021,Arsenal,0-2,0-2,Chelsea
Mon Aug 23 2021,West Ham,4-1,1-0,Leicester
