league,round,date,time,team1,team2,ft,ht,ft_home,ft_away
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-23,19:00,Tigre,Vélez Sarsfield,3-0,2-0,3.0,0.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-23,19:00,Godoy Cruz,Rosario Central,0-3,0-2,0.0,3.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-23,21:30,Newell's Old Boys,Independiente Rivadavia,0-1,0-1,0.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-23,21:30,Defensa y Justicia,Banfield,0-1,0-0,0.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-23,21:30,Lanús,Deportivo Riestra,0-2,0-0,0.0,2.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-24,17:00,Barracas Central,Racing Club,1-3,1-1,1.0,3.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-24,19:15,Independiente,Sarmiento de Junín,2-1,1-0,2.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-24,21:00,Belgrano de Córdoba,Huracán,1-1,1-1,1.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-24,21:30,San Martín de San Juan,Atlético Tucumán,0-1,0-1,0.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-25,17:00,San Lorenzo,Talleres de Córdoba,1-0,0-0,1.0,0.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-25,19:15,Estudiantes,Unión de Santa Fe,3-1,3-0,3.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-25,19:15,Instituto de Córdoba,Gimnasia de La Plata,3-0,1-0,3.0,0.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-25,21:30,Platense,River Plate,1-1,1-0,1.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-26,19:00,Boca Juniors,Argentinos Juniors,,,,
Argentina Primera Division 2025,"1° Semestre, Matchday 1",2025-01-26,21:00,Central Córdoba SdE,Aldosivi,1-0,0-0,1.0,0.0
Argentina Primera Division 2025,"1° Semestre, Matchday 2",2025-01-27,20:00,Banfield,Newell's Old Boys,3-0,2-0,3.0,0.0
Argentina Primera Division 2025,"1° Semestre, Matchday 2",2025-01-28,17:00,Deportivo Riestra,San Martín de San Juan,,,,
Argentina Primera Division 2025,"1° Semestre, Matchday 2",2025-01-28,19:15,Rosario Central,Lanús,2-1,2-0,2.0,1.0
Argentina Primera Division 2025,"1° Semestre, Matchday 2",2025-01-28,19:15,Sarmiento de Junín,Godoy Cruz,,,,
Argentina Primera Division 2025,"1° Semestre, Matchday 2",2025-01-28,21:30,Independiente Rivadavia,Barracas Central,,,,
